cancer_type,protein,mean_in,mean_out,fold_change,p_value
Breast,CLPX,0.0,0.584,-0.584,0.503334340528482
Pancreatic,SNAP29,0.8,0.357,0.443,0.5053735080088392
Lung,STOML2,0.0,0.861,-0.861,0.5115965266263318
Patient plasma,LONP1,0.0,1.622,-1.622,0.5164724315881373
Normal/Control,TOMM34,0.0,0.37,-0.37,0.5167949299187353
Normal/Control,ARMC10,0.0,0.36,-0.36,0.5167949299187353
Other,HSPD1,11.23,10.653,0.576,0.5187896341104437
Patient plasma,NLN,0.0,1.55,-1.55,0.5376522388909915
Other,SLC25A24,0.734,0.477,0.257,0.5407560347043049
Colorectal,UQCRC2,0.0,1.832,-1.832,0.5454531165529211
Pancreatic,TIMM8A,0.0,0.27,-0.27,0.5475768045075929
Normal/Control,MTX1,0.0,0.311,-0.311,0.5494179959929648
Lung,PHB2,2.274,3.924,-1.65,0.5508502932080928
Breast,NIPSNAP2,0.0,0.398,-0.398,0.5512464514403437
Breast,AFG3L2,0.0,0.395,-0.395,0.5512464514403437
Breast,TOMM20,0.0,0.381,-0.381,0.5512464514403437
Breast,GRPEL1,0.0,0.387,-0.387,0.5512464514403437
Lung,MTCH2,0.0,0.701,-0.701,0.551336131202268
Lung,MTX2,0.0,0.742,-0.742,0.551336131202268
Other,GRPEL1,0.41,0.225,0.185,0.5535548753008072
Lung,FKBP10,2.26,1.3,0.96,0.5613223934726028
Lung,TOMM7,0.0,0.689,-0.689,0.5657041832901599
Lung,SLC25A24,0.0,0.695,-0.695,0.5657041832901599
Lung,PITRM1,0.0,0.687,-0.687,0.5657041832901599
Patient plasma,FKBP10,0.0,1.337,-1.337,0.5678565720852898
Colorectal,LONP1,0.0,1.618,-1.618,0.5756946077223376
Colorectal,PMPCB,0.0,1.665,-1.665,0.5756946077223376
Breast,SLC25A24,1.148,0.659,0.49,0.5772479836347051
Breast,ARMC10,0.0,0.355,-0.355,0.5782472770867559
Breast,TOMM34,0.0,0.364,-0.364,0.5782472770867559
Normal/Control,TOMM6,0.0,0.227,-0.227,0.5859036409878207
Colorectal,NLN,0.0,1.546,-1.546,0.5950140458147365
Lung,TOMM5,0.0,0.584,-0.584,0.5964816457798525
Lung,ATAD1,0.0,0.56,-0.56,0.5964816457798525
Breast,LACTB,1.232,0.677,0.555,0.5999273076678957
Breast,MTX1,0.0,0.306,-0.306,0.6078449629431315
Other,MIPEP,0.054,0.0,0.054,0.6089570009029701
Other,METAP1D,0.064,0.0,0.064,0.6089570009029701
Other,SLC25A23,0.059,0.0,0.059,0.6089570009029701
Other,SPIRE1,0.059,0.0,0.059,0.6089570009029701
Other,TIMM9,0.059,0.0,0.059,0.6089570009029701
